classifier,classifier_roc_auc,regressor,reg_train_mae_on_events,reg_test_mae_on_events,prob_weighted_mae,prob_weighted_rmse,hard50_mae,hard50_rmse,best_th,best_th_mae
RandomForest,0.880513168896321,RandomForestReg,21.035072438088793,37.17285880883591,32.1862895228888,44.28861780527774,42.51833431233498,51.90970368140615,0.37,40.166454695923356
RandomForest,0.880513168896321,ElasticNet,34.45657925380797,34.24647959944163,32.34917954981395,44.32386304698436,41.47029818099139,51.281979556534836,0.11,36.59440110781624
LogisticRegression,0.8637210841694536,RandomForestReg,21.035072438088793,37.17285880883591,32.683639197331566,45.26504569600608,43.99128114935126,53.64176034461179,0.27,40.48986575226952
XGBClassifier,0.8841799052396879,ElasticNet,34.45657925380797,34.24647959944163,32.785922174942684,43.70090685323016,41.1626507812741,50.4826639415014,0.0,36.60432217917577
LogisticRegression,0.8637210841694536,ElasticNet,34.45657925380797,34.24647959944163,32.948274413633825,45.60674777501345,42.72685020561158,52.775730219570804,0.22,36.52785514140992
RandomForest,0.880513168896321,XGBRegressor,10.803923311734938,37.3731051500027,32.98099686624999,45.44857566200188,42.4528540549423,52.24631594349536,0.25,39.85639879925747
XGBClassifier,0.8841799052396879,RandomForestReg,21.035072438088793,37.17285880883591,33.189588266433056,44.24653161567205,42.39164735027736,51.259291517906426,0.32,40.48347353027965
RandomForest,0.880513168896321,GradientBoosting,15.368967506276501,38.17614431534447,33.568887288973066,46.573478724288854,43.126187361637186,53.38928390186394,0.27,40.37912730368536
LogisticRegression,0.8637210841694536,XGBRegressor,10.803923311734938,37.3731051500027,33.617544341517146,46.334794628074405,44.32929890185078,54.34738944859924,0.27,39.942343147934515
XGBClassifier,0.8841799052396879,XGBRegressor,10.803923311734938,37.3731051500027,33.96467821455071,45.38020997309599,42.53680051036308,51.73602431930178,0.16,40.226741776042594
LogisticRegression,0.8637210841694536,GradientBoosting,15.368967506276501,38.17614431534447,33.99072322594002,47.22868028373915,44.7551510158688,55.2251294293542,0.27,40.42114671519247
XGBClassifier,0.8841799052396879,GradientBoosting,15.368967506276501,38.17614431534447,34.298086599405714,46.38148468693336,43.03053918005617,52.72183426498552,0.16,40.60583896848845
